,characters,losses,transfers,network_cost
0,K02394,0.0,2.0,2.0
1,K03340,4.0,4.0,8.0
2,K00641,6.0,7.0,13.0
3,K03593,1.0,5.0,6.0
4,K00656,4.0,8.0,12.0
5,K00381,0.0,1.0,1.0
6,K00048,3.0,6.0,9.0
7,K01692,3.0,2.0,5.0
8,K03562,0.0,1.0,1.0
9,K03652,5.0,5.0,10.0
10,K03560,0.0,1.0,1.0
11,K07399,2.0,3.0,5.0
12,K03641,0.0,5.0,5.0
13,K00799,0.0,1.0,1.0
14,K01679,5.0,4.0,9.0
15,K03324,8.0,2.0,10.0
16,K07456,2.0,0.0,2.0
17,K01556,4.0,1.0,5.0
18,K03183,6.0,1.0,7.0
19,K01938,8.0,3.0,11.0
20,K16363,0.0,1.0,1.0
21,K03316,0.0,1.0,1.0
22,K03308,8.0,4.0,12.0
23,K08300,0.0,1.0,1.0
24,K05520,3.0,3.0,6.0
25,K03116,5.0,1.0,6.0
26,K18707,4.0,1.0,5.0
27,K00850,4.0,1.0,5.0
28,K04069,5.0,9.0,14.0
29,K08972,4.0,2.0,6.0
30,K08311,1.0,1.0,2.0
31,K00684,0.0,2.0,2.0
32,K00943,2.0,1.0,3.0
33,K10764,6.0,2.0,8.0
34,K06195,1.0,1.0,2.0
35,K00140,3.0,2.0,5.0
36,K07113,3.0,1.0,4.0
37,K00020,3.0,5.0,8.0
38,K02825,3.0,5.0,8.0
39,K10804,3.0,4.0,7.0
40,K00208,4.0,4.0,8.0
41,K01572,2.0,1.0,3.0
42,K07723,0.0,1.0,1.0
43,K03118,5.0,1.0,6.0
44,K03579,4.0,1.0,5.0
